Dagh Dehlvi,"kaabe kī hai havas kabhī kū-e-butāñ kī hai mujh ko ḳhabar nahīñ mirī miTTī kahāñ kī hai 
sun ke mirā fasāna unheñ lutf aa gayā suntā huuñ ab ki roz talab qissa-ḳhvāñ kī hai 
paiġhām-bar kī baat par aapas meñ ranj kyā merī zabāñ kī hai na tumhārī zabāñ kī hai 
kuchh tāzgī ho lazzat-e-āzār ke liye har dam mujhe talāsh na.e āsmāñ kī hai 
jāñ-bar bhī ho ga.e haiñ bahut mujh se nīm-jāñ kyā ġham hai ai tabīb jo puurī vahāñ kī hai 
hasrat baras rahī hai hamāre mazār par kahte haiñ sab ye qabr kisī naujavāñ kī hai 
vaqt-e-ḳhirām-e-nāz dikhā do judā judā ye chaal hashr kī ye ravish āsmāñ kī hai 
fursat kahāñ ki ham se kisī vaqt tū mile din ġhair kā hai raat tire pāsbāñ kī hai 
qāsid kī guftugū se tasallī ho kis tarah chhuptī nahīñ vo baat jo terī zabāñ kī hai 
jaur-e-raqīb o zulm-e-falak kā nahīñ ḳhayāl tashvīsh ek ḳhātir-e-nā-mehrbāñ kī hai 
sun kar mirā fasāna-e-ġham us ne ye kahā ho jaa.e jhuuT sach yahī ḳhūbī bayāñ kī hai 
dāman sambhāl bāñdh kamar āstīñ chaḌhā ḳhanjar nikāl dil meñ agar imtihāñ kī hai 
har har nafas meñ dil se nikalne lagā ġhubār kyā jaane gard-e-rāh ye kis kārvāñ kī hai 
kyūñki na aate ḳhuld se aadam zamīn par mauzūñ vahīñ vo ḳhuub hai jo sunte jahāñ kī hai 
taqdīr se ye pūchh rahā huuñ ki ishq meñ tadbīr koī bhī sitam-e-nā-gahāñ kī hai 
urdu hai jis kā naam hamīñ jānte haiñ 'dāġh' hindostāñ meñ dhuum hamārī zabāñ kī hai 
kabe ki hai hawas kabhi ku-e-butan ki hai mujh ko KHabar nahin meri miTTi kahan ki hai 
sun ke mera fasana unhen lutf aa gaya sunta hun ab ki roz talab qissa-KHwan ki hai 
paigham-bar ki baat par aapas mein ranj kya meri zaban ki hai na tumhaari zaban ki hai 
kuchh tazgi ho lazzat-e-azar ke liye har dam mujhe talash nae aasman ki hai 
jaan-bar bhi ho gae hain bahut mujh se nim-jaan kya gham hai ai tabib jo puri wahan ki hai 
hasrat baras rahi hai hamare mazar par kahte hain sab ye qabr kisi naujawan ki hai 
waqt-e-KHiram-e-naz dikha do juda juda ye chaal hashr ki ye rawish aasman ki hai 
fursat kahan ki hum se kisi waqt tu mile din ghair ka hai raat tere pasban ki hai 
qasid ki guftugu se tasalli ho kis tarah chhupti nahin wo baat jo teri zaban ki hai 
jaur-e-raqib o zulm-e-falak ka nahin KHayal tashwish ek KHatir-e-na-mehrban ki hai 
sun kar mera fasana-e-gham us ne ye kaha ho jae jhuT sach yahi KHubi bayan ki hai 
daman sambhaal bandh kamar aastin chaDha KHanjar nikal dil mein agar imtihan ki hai 
har har nafas mein dil se nikalne laga ghubar kya jaane gard-e-rah ye kis karwan ki hai 
kyunki na aate KHuld se aadam zamin par mauzun wahin wo KHub hai jo sunte jahan ki hai 
taqdir se ye puchh raha hun ki ishq mein tadbir koi bhi sitam-e-na-gahan ki hai 
urdu hai jis ka nam hamin jaante hain 'dagh' hindostan mein dhum hamari zaban ki hai "
Sahir Ludhianvi,"maiñ zinda huuñ ye mushtahar kījiye mire qātiloñ ko ḳhabar kījiye 
zamīñ saḳht hai āsmāñ duur hai basar ho sake to basar kījiye 
sitam ke bahut se haiñ radd-e-amal zarūrī nahīñ chashm tar kījiye 
vahī zulm bār-e-digar hai to phir vahī jurm bār-e-digar kījiye 
qafas toḌnā baad kī baat hai abhī ḳhvāhish-e-bāl-o-par kījiye 
main zinda hun ye mushtahar kijiye mere qatilon ko KHabar kijiye 
zamin saKHt hai aasman dur hai basar ho sake to basar kijiye 
sitam ke bahut se hain radd-e-amal zaruri nahin chashm tar kijiye 
wahi zulm bar-e-digar hai to phir wahi jurm bar-e-digar kijiye 
qafas toDna baad ki baat hai abhi KHwahish-e-baal-o-par kijiye "
Bashir Badr,"kaun aayā rāste ā.īna-ḳhāne ho ga.e raat raushan ho ga.ī din bhī suhāne ho ga.e 
kyuuñ havelī ke ujaḌne kā mujhe afsos ho saikḌoñ be-ghar parindoñ ke Thikāne ho ga.e 
jaao un kamroñ ke ā.īne uThā kar pheñk do be-adab ye kah rahe haiñ ham purāne ho ga.e 
ye bhī mumkin hai ki maiñ ne us ko pahchānā na ho ab use dekhe hue kitne zamāne ho ga.e 
palkoñ par ye aañsū pyaar kī tauhīn the āñkhoñ se gire motī ke daane ho ga.e 
kaun aaya raste aaina-KHane ho gae raat raushan ho gai din bhi suhane ho gae 
kyun haweli ke ujaDne ka mujhe afsos ho saikDon be-ghar parindon ke Thikane ho gae 
jao un kamron ke aaine uTha kar phenk do be-adab ye kah rahe hain hum purane ho gae 
ye bhi mumkin hai ki main ne us ko pahchana na ho ab use dekhe hue kitne zamane ho gae 
palkon par ye aansu pyar ki tauhin the aankhon se gire moti ke dane ho gae "
Obaidullah Aleem,"tere pyaar meñ rusvā ho kar jaa.eñ kahāñ dīvāne log jaane kyā kyā pūchh rahe haiñ ye jāne-pahchāne log 
har lamha ehsās kī sahbā ruuh meñ Dhaltī jaatī hai ziist kā nashsha kuchh kam ho to ho aa.eñ mai-ḳhāne log 
jaise tumheñ ham ne chāhā hai kaun bhalā yuuñ chāhegā maanā aur bahut ā.eñge tum se pyaar jatāne log 
yuuñ galiyoñ bāzāroñ meñ āvāra phirte rahte haiñ jaise is duniyā meñ sabhī aa.e hoñ umar gañvāne log 
aage pīchhe daa.eñ baa.eñ saa.e se lahrāte haiñ duniyā bhī to dasht-e-balā hai ham hī nahīñ dīvāne log 
kaise dukhoñ ke mausam aa.e kaisī aag lagī yaaro ab sahrāoñ se laate haiñ phūloñ ke nazrāne log 
kal mātam be-qīmat hogā aaj un kī tauqīr karo dekho ḳhūn-e-jigar se kyā kyā likhte haiñ afsāne log 
tere pyar mein ruswa ho kar jaen kahan diwane log jaane kya kya puchh rahe hain ye jaane-pahchane log 
har lamha ehsas ki sahba ruh mein Dhalti jati hai zist ka nashsha kuchh kam ho to ho aaen mai-KHane log 
jaise tumhein hum ne chaha hai kaun bhala yun chahega mana aur bahut aaenge tum se pyar jatane log 
yun galiyon bazaron mein aawara phirte rahte hain jaise is duniya mein sabhi aae hon umar ganwane log 
aage pichhe daen baen sae se lahraate hain duniya bhi to dasht-e-bala hai hum hi nahin diwane log 
kaise dukhon ke mausam aae kaisi aag lagi yaro ab sahraon se late hain phulon ke nazrane log 
kal matam be-qimat hoga aaj un ki tauqir karo dekho KHun-e-jigar se kya kya likhte hain afsane log "
Abdul Hamid Adam,"taklīf miT ga.ī magar ehsās rah gayā ḳhush huuñ ki kuchh na kuchh to mire paas rah gayā 
pal-bhar meñ us kī shakl na aa.ī agar nazar yak-dam ulajh ke rishta-e-anfās rah gayā 
photo meñ dil kī choT na tabdīl ho sakī naqleñ utaar utaar ke akkās rah gayā 
vo jhūTe motiyoñ kī chamak par phisal ga.ī maiñ haath meñ liye hue almās rah gayā 
ik ham-safar ko kho ke ye hālat huī 'adam' jañgal meñ jis tarah koī be-ās rah gayā 
taklif miT gai magar ehsas rah gaya KHush hun ki kuchh na kuchh to mere pas rah gaya 
pal-bhar mein us ki shakl na aai agar nazar yak-dam ulajh ke rishta-e-anfas rah gaya 
photo mein dil ki choT na tabdil ho saki naqlen utar utar ke akkas rah gaya 
wo jhuTe motiyon ki chamak par phisal gai main hath mein liye hue almas rah gaya 
ek ham-safar ko kho ke ye haalat hui 'adam' jangal mein jis tarah koi be-as rah gaya "
Waseem Barelvi,"sabhī kā dhuup se bachne ko sar nahīñ hotā har aadmī ke muqaddar meñ ghar nahīñ hotā 
kabhī lahū se bhī tārīḳh likhnī paḌtī hai har ek ma.arka bātoñ se sar nahīñ hotā 
maiñ us kī aañkh kā aañsū na ban sakā varna mujhe bhī ḳhaak meñ milne kā Dar nahīñ hotā 
mujhe talāsh karoge to phir na pāoge maiñ ik sadā huuñ sadāoñ kā ghar nahīñ hotā 
hamārī aañkh ke aañsū kī apnī duniyā hai kisī faqīr ko shāhoñ kā Dar nahīñ hotā 
maiñ us makān meñ rahtā huuñ aur zinda huuñ 'vasīm' jis meñ havā kā guzar nahīñ hotā 
sabhi ka dhup se bachne ko sar nahin hota har aadmi ke muqaddar mein ghar nahin hota 
kabhi lahu se bhi tariKH likhni paDti hai har ek marka baaton se sar nahin hota 
main us ki aankh ka aansu na ban saka warna mujhe bhi KHak mein milne ka Dar nahin hota 
mujhe talash karoge to phir na paoge main ek sada hun sadaon ka ghar nahin hota 
hamari aankh ke aansu ki apni duniya hai kisi faqir ko shahon ka Dar nahin hota 
main us makan mein rahta hun aur zinda hun 'wasim' jis mein hawa ka guzar nahin hota "
Mirza Ghalib,"na gul-e-naġhma huuñ na parda-e-sāz maiñ huuñ apnī shikast kī āvāz 
tū aur ārā.ish-e-ḳham-e-kākul maiñ aur andesha-hā-e-dūr-darāz 
lāf-e-tamkīñ fareb-e-sāda-dilī ham haiñ aur rāz-hā-e-sīna-gudāz 
huuñ giraftār-e-ulfat-e-sayyād varna baaqī hai tāqat-e-parvāz 
vo bhī din ho ki us sitamgar se naaz khīñchūñ bajā.e hasrat-e-nāz 
nahīñ dil meñ mire vo qatra-e-ḳhūñ jis se mizhgāñ huī na ho gul-bāz 
ai tirā ġhamza yak-qalam-añgez ai tirā zulm sar-ba-sar andāz 
tū huā jalva-gar mubārak ho rezish-e-sajda-e-jabīn-e-niyāz 
mujh ko pūchhā to kuchh ġhazab na huā maiñ ġharīb aur tū ġharīb-navāz 
'asad'-ullāh ḳhaañ tamām huā ai dareġhā vo rind-e-shāhid-bāz 
na gul-e-naghma hun na parda-e-saz main hun apni shikast ki aawaz 
tu aur aaraish-e-KHam-e-kakul main aur andesha-ha-e-dur-daraaz 
laf-e-tamkin fareb-e-sada-dili hum hain aur raaz-ha-e-sina-gudaz 
hun giraftar-e-ulfat-e-sayyaad warna baqi hai taqat-e-parwaz 
wo bhi din ho ki us sitamgar se naz khinchun bajae hasrat-e-naz 
nahin dil mein mere wo qatra-e-KHun jis se mizhgan hui na ho gul-baz 
ai tera ghamza yak-qalam-angez ai tera zulm sar-ba-sar andaz 
tu hua jalwa-gar mubarak ho rezish-e-sajda-e-jabin-e-niyaz 
mujh ko puchha to kuchh ghazab na hua main gharib aur tu gharib-nawaz 
'asad'-ullah KHan tamam hua ai daregha wo rind-e-shahid-baz "
Mohsin Naqvi,"ab ke bārish meñ to ye kār-e-ziyāñ honā hī thā apnī kachchī bastiyoñ ko be-nishāñ honā hī thā 
kis ke bas meñ thā havā kī vahshatoñ ko roknā barg-e-gul ko ḳhaak sho.ale ko dhuāñ honā hī thā 
jab koī samt-e-safar tai thī na hadd-e-rahguzar ai mire rah-rau safar to rā.egāñ honā hī thā 
mujh ko ruknā thā use jaanā thā agle moḌ tak faisla ye us ke mere darmiyāñ honā hī thā 
chāñd ko chalnā thā bahtī sīpiyoñ ke saath saath mo.ajiza ye bhī tah-e-āb-e-ravāñ honā hī thā 
maiñ na.e chehroñ pe kahtā thā na.ī ġhazleñ sadā merī is aadat se us ko bad-gumāñ honā hī thā 
shahr se bāhar kī vīrānī basānā thī mujhe apnī tanhā.ī pe kuchh to mehrbāñ honā hī thā 
apnī āñkheñ dafn karnā thiiñ ġhubār-e-ḳhāk meñ ye sitam bhī ham pe zer-e-āsmāñ honā hī thā 
be-sadā bastī kī rasmeñ thiiñ yahī 'mohsin' mire maiñ zabāñ rakhtā thā mujh ko be-zabāñ honā hī thā 
ab ke barish mein to ye kar-e-ziyan hona hi tha apni kachchi bastiyon ko be-nishan hona hi tha 
kis ke bas mein tha hawa ki wahshaton ko rokna barg-e-gul ko KHak shoale ko dhuan hona hi tha 
jab koi samt-e-safar tai thi na hadd-e-rahguzar ai mere rah-rau safar to raegan hona hi tha 
mujh ko rukna tha use jaana tha agle moD tak faisla ye us ke mere darmiyan hona hi tha 
chand ko chalna tha bahti sipiyon ke sath sath moajiza ye bhi tah-e-ab-e-rawan hona hi tha 
main nae chehron pe kahta tha nai ghazlen sada meri is aadat se us ko bad-guman hona hi tha 
shahr se bahar ki virani basana thi mujhe apni tanhai pe kuchh to mehrban hona hi tha 
apni aankhen dafn karna thin ghubar-e-KHak mein ye sitam bhi hum pe zer-e-asman hona hi tha 
be-sada basti ki rasmen thin yahi 'mohsin' mere main zaban rakhta tha mujh ko be-zaban hona hi tha "
Aashufta Changezi,"guzar ga.e haiñ jo mausam kabhī na ā.eñge tamām dariyā kisī roz Duub jā.eñge 
safar to pahle bhī kitne kiye magar is baar ye lag rahā hai ki tujh ko bhī bhuul jā.eñge 
alaav ThanDe haiñ logoñ ne jāgnā chhoḌā kahānī saath hai lekin kise sunā.eñge 
sunā hai aage kahīñ samteñ bāñTī jaatī haiñ tum apnī raah chuno saath chal na pā.eñge 
duā.eñ loriyāñ maaoñ ke paas chhoḌ aa.e bas ek niiñd bachī hai ḳharīd lā.eñge 
zarūr tujh sā bhī hogā koī zamāne meñ kahāñ talak tirī yādoñ se jī lagā.eñge 
guzar gae hain jo mausam kabhi na aaenge tamam dariya kisi roz Dub jaenge 
safar to pahle bhi kitne kiye magar is bar ye lag raha hai ki tujh ko bhi bhul jaenge 
alaw ThanDe hain logon ne jagna chhoDa kahani sath hai lekin kise sunaenge 
suna hai aage kahin samten banTi jati hain tum apni rah chuno sath chal na paenge 
duaen loriyan maon ke pas chhoD aae bas ek nind bachi hai KHarid laenge 
zarur tujh sa bhi hoga koi zamane mein kahan talak teri yaadon se ji lagaenge "
Qateel Shifai,"khulā hai jhuuT kā bāzār aao sach boleñ na ho balā se ḳharīdār aao sach boleñ 
sukūt chhāyā hai insāniyat kī qadroñ par yahī hai mauqa-e-iz.hār aao sach boleñ 
hameñ gavāh banāyā hai vaqt ne apnā ba-nām-e-azmat-e-kirdār aao sach boleñ 
sunā hai vaqt kā hākim baḌā hī munsif hai pukār kar sar-e-darbār aao sach boleñ 
tamām shahr meñ kyā ek bhī nahīñ mansūr kaheñge kyā rasan-o-dār aao sach boleñ 
bajā ki ḳhū-e-vafā ek bhī hasīñ meñ nahīñ kahāñ ke ham bhī vafādār aao sach boleñ 
jo vasf ham meñ nahīñ kyuuñ kareñ kisī meñ talāsh agar zamīr hai bedār aao sach boleñ 
chhupā.e se kahīñ chhupte haiñ daaġh chehre ke nazar hai ā.ina-bardār aao sach boleñ 
'qatīl' jin pe sadā pattharoñ ko pyaar aayā kidhar ga.e vo gunahgār aao sach boleñ 
khula hai jhuT ka bazar aao sach bolen na ho bala se KHaridar aao sach bolen 
sukut chhaya hai insaniyat ki qadron par yahi hai mauqa-e-izhaar aao sach bolen 
hamein gawah banaya hai waqt ne apna ba-nam-e-azmat-e-kirdar aao sach bolen 
suna hai waqt ka hakim baDa hi munsif hai pukar kar sar-e-darbar aao sach bolen 
tamam shahr mein kya ek bhi nahin mansur kahenge kya rasan-o-dar aao sach bolen 
baja ki KHu-e-wafa ek bhi hasin mein nahin kahan ke hum bhi wafadar aao sach bolen 
jo wasf hum mein nahin kyun karen kisi mein talash agar zamir hai bedar aao sach bolen 
chhupae se kahin chhupte hain dagh chehre ke nazar hai aaina-bardar aao sach bolen 
'qatil' jin pe sada pattharon ko pyar aaya kidhar gae wo gunahgar aao sach bolen "
Ahmad Nadeem Qasmi,"ab to shahroñ se ḳhabar aatī hai dīvānoñ kī koī pahchān hī baaqī nahīñ vīrānoñ kī 
apnī poshāk se hushyār ki ḳhuddām-e-qadīm dhajjiyāñ māñgte haiñ apne garebānoñ kī 
san.ateñ phailtī jaatī haiñ magar is ke saath sarhadeñ TūTtī jaatī haiñ gulistānoñ kī 
dil meñ vo zaḳhm khile haiñ ki chaman kyā shai hai ghar meñ bārāt sī utrī huī gul-dānoñ kī 
un ko kyā fikr ki maiñ paar lagā yā Duubā bahs karte rahe sāhil pe jo tūfānoñ kī 
terī rahmat to musallam hai magar ye to batā kaun bijlī ko ḳhabar detā hai kāshānoñ kī 
maqbare bante haiñ zindoñ ke makānoñ se buland kis qadar auj pe takrīm hai insānoñ kī 
ek ik yaad ke hāthoñ pe charāġhoñ bhare tasht ka.aba-e-dil kī fazā hai ki sanam-ḳhānoñ kī 
ab to shahron se KHabar aati hai diwanon ki koi pahchan hi baqi nahin viranon ki 
apni poshak se hushyar ki KHuddam-e-qadim dhajjiyan mangte hain apne garebanon ki 
sanaten phailti jati hain magar is ke sath sarhaden TuTti jati hain gulistanon ki 
dil mein wo zaKHm khile hain ki chaman kya shai hai ghar mein baraat si utri hui gul-danon ki 
un ko kya fikr ki main par laga ya Duba bahs karte rahe sahil pe jo tufanon ki 
teri rahmat to musallam hai magar ye to bata kaun bijli ko KHabar deta hai kashanon ki 
maqbare bante hain zindon ke makanon se buland kis qadar auj pe takrim hai insanon ki 
ek ek yaad ke hathon pe charaghon bhare tasht kaba-e-dil ki faza hai ki sanam-KHanon ki "
Aitbar Sajid,"maiñ takiye par sitāre bo rahā huuñ janam-din hai akelā ro rahā huuñ 
kisī ne jhāñk kar dekhā na dil meñ ki maiñ andar se kaisā ho rahā huuñ 
jo dil par daaġh haiñ pichhlī rutoñ ke unheñ ab āñsuoñ se dho rahā huuñ 
sabhī parchhā.iyāñ haiñ saath lekin bharī mahfil meñ tanhā ho rahā huuñ 
mujhe in nisbatoñ se kaun samjhā maiñ rishte meñ kisī kā jo rahā huuñ 
maiñ chauñk uThtā huuñ aksar baiThe baiThe ki jaise jāgte meñ so rahā huuñ 
kise paane kī ḳhvāhish hai ki 'sājid' maiñ rafta rafta ḳhud ko kho rahā huuñ 
main takiye par sitare bo raha hun janam-din hai akela ro raha hun 
kisi ne jhank kar dekha na dil mein ki main andar se kaisa ho raha hun 
jo dil par dagh hain pichhli ruton ke unhen ab aansuon se dho raha hun 
sabhi parchhaiyan hain sath lekin bhari mahfil mein tanha ho raha hun 
mujhe in nisbaton se kaun samjha main rishte mein kisi ka jo raha hun 
main chaunk uThta hun aksar baiThe baiThe ki jaise jagte mein so raha hun 
kise pane ki KHwahish hai ki 'sajid' main rafta rafta KHud ko kho raha hun "
Jigar Moradabadi,"dāstān-e-ġham-e-dil un ko sunā.ī na ga.ī baat bigḌī thī kuchh aisī ki banā.ī na ga.ī 
sab ko ham bhuul ga.e josh-e-junūñ meñ lekin ik tirī yaad thī aisī jo bhulā.ī na ga.ī 
ishq par kuchh na chalā dīda-e-tar kā qaabū us ne jo aag lagā dī vo bujhā.ī na ga.ī 
paḌ gayā husn-e-ruḳh-e-yār kā partav jis par ḳhaak meñ mil ke bhī is dil kī safā.ī na ga.ī 
kyā uThā.egī sabā ḳhaak mirī us dar se ye qayāmat to ḳhud un se bhī uThā.ī na ga.ī 
dastan-e-gham-e-dil un ko sunai na gai baat bigDi thi kuchh aisi ki banai na gai 
sab ko hum bhul gae josh-e-junun mein lekin ek teri yaad thi aisi jo bhulai na gai 
ishq par kuchh na chala dida-e-tar ka qabu us ne jo aag laga di wo bujhai na gai 
paD gaya husn-e-ruKH-e-yar ka partaw jis par KHak mein mil ke bhi is dil ki safai na gai 
kya uThaegi saba KHak meri us dar se ye qayamat to KHud un se bhi uThai na gai "
Parveen Shakir,"khulī āñkhoñ meñ sapnā jhāñktā hai vo soyā hai ki kuchh kuchh jāgtā hai 
tirī chāhat ke bhīge jañgaloñ meñ mirā tan mor ban kar nāchtā hai 
mujhe har kaifiyat meñ kyuuñ na samjhe vo mere sab havāle jāntā hai 
maiñ us kī dastaras meñ huuñ magar vo mujhe merī razā se māñgtā hai 
kisī ke dhyān meñ Duubā huā dil bahāne se mujhe bhī Tāltā hai 
saḌak ko chhoḌ kar chalnā paḌegā ki mere ghar kā kachchā rāsta hai 
khuli aankhon mein sapna jhankta hai wo soya hai ki kuchh kuchh jagta hai 
teri chahat ke bhige jangalon mein mera tan mor ban kar nachta hai 
mujhe har kaifiyat mein kyun na samjhe wo mere sab hawale jaanta hai 
main us ki dastaras mein hun magar wo mujhe meri raza se mangta hai 
kisi ke dhyan mein Duba hua dil bahane se mujhe bhi Talta hai 
saDak ko chhoD kar chalna paDega ki mere ghar ka kachcha rasta hai "
Zafar Gorakhpuri,"dekheñ qarīb se bhī to achchhā dikhā.ī de ik aadmī to shahr meñ aisā dikhā.ī de 
ab bhiik māñgne ke tarīqe badal ga.e lāzim nahīñ ki haath meñ kaasa dikhā.ī de 
neze pe rakh ke aur mirā sar buland kar duniyā ko ik charāġh to jaltā dikhā.ī de 
dil meñ tire ḳhayāl kī bantī hai ik dhanak sūraj sā aa.ine se guzartā dikhā.ī de 
chal zindagī kī jot jagā.e 'ajab nahīñ lāshoñ ke darmiyāñ koī rasta dikhā.ī de 
kyā kam hai ki vajūd ke sannāTe meñ 'zafar' ik dard kī sadā hai ki zinda dikhā.ī de 
dekhen qarib se bhi to achchha dikhai de ek aadmi to shahr mein aisa dikhai de 
ab bhik mangne ke tariqe badal gae lazim nahin ki hath mein kasa dikhai de 
neze pe rakh ke aur mera sar buland kar duniya ko ek charagh to jalta dikhai de 
dil mein tere KHayal ki banti hai ek dhanak suraj sa aaine se guzarta dikhai de 
chal zindagi ki jot jagae 'ajab nahin lashon ke darmiyan koi rasta dikhai de 
kya kam hai ki wajud ke sannaTe mein 'zafar' ek dard ki sada hai ki zinda dikhai de "
Khumar Barabankavi,"tū chāhiye na terī vafā chāhiye mujhe kuchh bhī na tere ġham ke sivā chāhiye mujhe 
marne se pahle shakl hī ik baar dekh luuñ ai maut zindagī kā patā chāhiye mujhe 
yā rab muaaf kar ke na de karb-e-infi.āl maiñ ne ḳhatā.eñ kī haiñ sazā chāhiye mujhe 
ḳhāmoshi-e-hayāt se uktā gayā huuñ maiñ ab chāhe dil hī TuuTe sadā chāhiye mujhe 
un mast mast āñkhoñ meñ aañsū are ġhazab ye ishq hai to qahr-e-ḳhudā chāhiye mujhe 
nāseh nasīhatoñ kā zamāna guzar gayā ab pyāre sirf terī duā chāhiye mujhe 
har dard ko davā kī zarūrat hai ai 'ḳhumār' jo dard ḳhud ho apnī davā chāhiye mujhe 
tu chahiye na teri wafa chahiye mujhe kuchh bhi na tere gham ke siwa chahiye mujhe 
marne se pahle shakl hi ek bar dekh lun ai maut zindagi ka pata chahiye mujhe 
ya rab muaf kar ke na de karb-e-infial main ne KHataen ki hain saza chahiye mujhe 
KHamoshi-e-hayat se ukta gaya hun main ab chahe dil hi TuTe sada chahiye mujhe 
un mast mast aankhon mein aansu are ghazab ye ishq hai to qahr-e-KHuda chahiye mujhe 
naseh nasihaton ka zamana guzar gaya ab pyare sirf teri dua chahiye mujhe 
har dard ko dawa ki zarurat hai ai 'KHumar' jo dard KHud ho apni dawa chahiye mujhe "
Rahat Indori,"mujhe Dubo ke bahut sharmsār rahtī hai vo ek mauj jo dariyā ke paar rahtī hai 
hamāre taaq bhī be-zār haiñ ujāloñ se diye kī lau bhī havā par savār rahtī hai 
phir us ke ba.ad vahī baasī manzaroñ ke julūs bahār chand hī lamhe bahār rahtī hai 
isī se qarz chukā.e haiñ maiñ ne sadiyoñ ke ye zindagī jo hamesha udhār rahtī hai 
hamārī shahr ke dānishvaroñ se yaarī hai isī liye to qabā taar taar rahtī hai 
mujhe ḳharīdne vaalo qatār meñ aao vo chiiz huuñ jo pas-e-ishtihār rahtī hai 
mujhe Dubo ke bahut sharmsar rahti hai wo ek mauj jo dariya ke par rahti hai 
hamare taq bhi be-zar hain ujalon se diye ki lau bhi hawa par sawar rahti hai 
phir us ke baad wahi basi manzaron ke julus bahaar chand hi lamhe bahaar rahti hai 
isi se qarz chukae hain main ne sadiyon ke ye zindagi jo hamesha udhaar rahti hai 
hamari shahr ke danishwaron se yari hai isi liye to qaba tar tar rahti hai 
mujhe KHaridne walo qatar mein aao wo chiz hun jo pas-e-ishtihaar rahti hai "
Nasir Kazmi,"thoḌī der ko jī bahlā thā phir tirī yaad ne gher liyā thā 
yaad aa.ī vo pahlī bārish jab tujhe ek nazar dekhā thā 
hare gilās meñ chāñd ke TukḌe laal surāhī meñ sonā thā 
chāñd ke dil meñ jaltā sūraj phuul ke siine meñ kāñTā thā 
kāġhaz ke dil meñ chingārī ḳhas kī zabāñ par angāra thā 
dil kī sūrat kā ik pattā terī hathelī par rakkhā thā 
shaam to jaise ḳhvāb meñ guzrī aadhī raat nasha TuuTā thā 
shahr se duur hare jangal meñ bārish ne hameñ gher liyā thā 
sub.h huī to sab se pahle maiñ ne terā muñh dekhā thā 
der ke baa'd mire āñgan meñ surḳh anaar kā phuul khilā thā 
der ke murjhā.e peḌoñ ko ḳhushbū ne ābād kiyā thā 
shaam kī gahrī ūñchā.ī se ham ne dariyā ko dekhā thā 
yaad aa.iiñ kuchh aisī bāteñ maiñ jinheñ kab kā bhuul chukā thā 
thoDi der ko ji bahla tha phir teri yaad ne gher liya tha 
yaad aai wo pahli barish jab tujhe ek nazar dekha tha 
hare gilas mein chand ke TukDe lal surahi mein sona tha 
chand ke dil mein jalta suraj phul ke sine mein kanTa tha 
kaghaz ke dil mein chingari KHas ki zaban par angara tha 
dil ki surat ka ek patta teri hatheli par rakkha tha 
sham to jaise KHwab mein guzri aadhi raat nasha TuTa tha 
shahr se dur hare jangal mein barish ne hamein gher liya tha 
subh hui to sab se pahle main ne tera munh dekha tha 
der ke ba'd mere aangan mein surKH anar ka phul khila tha 
der ke murjhae peDon ko KHushbu ne aabaad kiya tha 
sham ki gahri unchai se hum ne dariya ko dekha tha 
yaad aain kuchh aisi baaten main jinhen kab ka bhul chuka tha "
Shariq Kaifi,"jhuuT par us ke bharosā kar liyā dhuup itnī thī ki saayā kar liyā 
ab hamārī mushkileñ kuchh kam huiiñ dushmanoñ ne ek chehrā kar liyā 
haath kyā aayā sajā kar mahfileñ aur bhī ḳhud ko akelā kar liyā 
hārne kā hausla to thā nahīñ jiit meñ dushman kī hissa kar liyā 
manziloñ par ham mileñ ye tai huā vāpsī meñ saath pakkā kar liyā 
saarī duniyā se laḌe jis ke liye ek din us se bhī jhagḌā kar liyā 
qurb kā us ke uThā kar fā.eda hijr kā sāmāñ ikaTThā kar liyā 
guftugū se hal to kuchh niklā nahīñ ranjishoñ ko aur taaza kar liyā 
mol thā har chiiz kā bāzār meñ ham ne tanhā.ī kā saudā kar liyā 
jhuT par us ke bharosa kar liya dhup itni thi ki saya kar liya 
ab hamari mushkilen kuchh kam huin dushmanon ne ek chehra kar liya 
hath kya aaya saja kar mahfilen aur bhi KHud ko akela kar liya 
haarne ka hausla to tha nahin jit mein dushman ki hissa kar liya 
manzilon par hum milen ye tai hua wapsi mein sath pakka kar liya 
sari duniya se laDe jis ke liye ek din us se bhi jhagDa kar liya 
qurb ka us ke uTha kar faeda hijr ka saman ikaTTha kar liya 
guftugu se hal to kuchh nikla nahin ranjishon ko aur taza kar liya 
mol tha har chiz ka bazar mein hum ne tanhai ka sauda kar liya "
